640	-2357
920	-2485
920	-2725
640	-2845
80	-3077
80	-3357
360	-3605
640	-3773
920	-3893
920	-4021
640	-4117
640	-4237
80	-4469
360	-4653
80	-5125
360	-5301
640	-5429
920	-5581
640	-5797
360	-6037
80	-6205
360	-6421
640	-6669
80	-6885
360	-7053
640	-7157
920	-7285
920	-7509
640	-7605
80	-7733
360	-7917
640	-8037
920	-8157
920	-8397
640	-8517
80	-8669
360	-8757
640	-9021
920	-9181
920	-9421
920	-9653
80	-9909
360	-9997
640	-10117
640	-10253
640	-10453
920	-10509
640	-10549
80	-10653
360	-10701
640	-10893
80	-11125
640	-11309
360	-11437
920	-11589
640	-11725
80	-11957
360	-12013
640	-12101
920	-12101
920	-12221
640	-12285
80	-12357
360	-12493
640	-12605
80	-12973
360	-13061
640	-13141
640	-13261
80	-13421
360	-13501
640	-13853
80	-13925
640	-13973
360	-13973
640	-14061
920	-14149
640	-14301
640	-14565
80	-14613
360	-14653
920	-14669
640	-14725
80	-14813
640	-14957
360	-15069
640	-15325
80	-15405
360	-15453
920	-15549
640	-15613
640	-15693
80	-15829
360	-15885
640	-16077
80	-16301
360	-16349
640	-16437
920	-16485
80	-16589
360	-16701
80	-17021
360	-17069
640	-17141
920	-17197
80	-17277
360	-17341
640	-17389
920	-17453
80	-17493
360	-17549
640	-17613
80	-17693
920	-17693
360	-17789
640	-17853
920	-17933
80	-17965
360	-18021
640	-18061
80	-18373
640	-18373
920	-18373
