640	-3037
920	-3173
640	-3309
80	-3957
360	-4245
640	-4541
80	-5173
360	-5453
640	-5765
640	-6341
920	-6637
640	-6917
80	-7901
360	-8037
640	-8173
640	-8301
920	-8469
640	-8605
80	-8797
360	-8925
640	-9077
920	-9229
80	-9397
360	-9549
640	-9717
920	-9845
80	-10053
80	-10333
360	-10477
640	-10661
920	-10805
640	-10973
640	-11109
80	-11269
360	-11381
640	-11565
920	-11717
80	-11885
360	-12045
640	-12213
920	-12357
640	-12525
80	-12829
360	-12965
640	-13101
920	-13245
640	-13389
640	-13541
80	-13693
360	-13853
920	-14005
640	-14181
80	-14317
360	-14485
640	-14629
80	-14797
360	-14949
920	-14973
640	-15261
80	-15413
640	-15549
360	-15693
920	-15869
640	-16029
80	-16165
360	-16317
640	-16469
80	-16621
920	-16773
360	-16925
640	-17061
80	-17229
920	-17373
360	-17381
640	-17701
80	-17845
640	-18013
360	-18157
920	-18325
640	-18477
80	-18621
360	-18781
640	-18909
920	-19069
640	-19229
80	-19365
360	-19533
360	-19709
640	-19845
920	-19997
640	-20173
80	-20333
360	-20477
640	-20613
640	-20765
920	-20917
640	-21085
80	-21221
80	-21405
640	-21541
360	-21693
920	-21837
80	-21997
640	-22149
360	-22309
640	-22317
640	-22629
80	-22781
360	-22957
640	-23237
920	-23389
920	-23549
640	-23669
640	-24013
80	-24173
360	-24317
640	-24453
920	-24613
640	-24765
640	-24917
80	-25077
360	-25245
640	-25381
80	-25389
640	-25709
360	-25717
920	-25861
640	-26005
80	-26157
640	-26437
360	-26621
920	-26773
640	-26925
640	-27053
80	-27069
640	-27237
360	-27365
920	-27557
640	-27693
80	-27813
360	-27981
640	-28133
360	-28293
640	-28453
80	-28605
920	-28757
360	-28861
640	-29061
640	-29213
360	-29365
920	-29525
640	-29685
80	-29821
360	-29973
640	-30109
80	-30277
360	-30429
640	-30589
80	-30725
920	-30893
360	-31021
640	-31205
80	-31349
640	-31509
640	-31661
360	-31813
920	-31981
640	-32133
640	-32429
80	-32445
640	-32581
360	-32741
640	-32901
80	-33061
360	-33173
640	-33341
920	-33485
640	-33645
80	-33789
360	-33941
640	-34077
640	-34197
920	-34373
640	-34525
640	-34653
80	-34845
360	-34989
640	-35109
640	-35261
920	-35413
640	-35573
80	-35725
360	-35901
360	-36173
640	-36341
920	-36485
80	-36645
360	-36813
640	-36845
80	-36989
920	-36989
