640	-2989
920	-3125
640	-3261
80	-3837
360	-4125
640	-4389
80	-5013
360	-5317
640	-5573
640	-6165
920	-6493
640	-6789
80	-7725
360	-7885
640	-8053
640	-8197
920	-8349
640	-8501
80	-8661
360	-8813
640	-8949
920	-9109
640	-9237
80	-9381
360	-9533
640	-9701
920	-9869
80	-10165
360	-10293
640	-10461
920	-10605
640	-10749
640	-10885
80	-11053
360	-11205
640	-11349
920	-11517
920	-11669
80	-11829
360	-11981
640	-12157
920	-12309
640	-12605
80	-12765
360	-12901
640	-13045
920	-13197
640	-13365
640	-13517
80	-13669
360	-13829
920	-13973
920	-14141
80	-14317
640	-14437
640	-14573
640	-14717
80	-14997
360	-15157
920	-15309
80	-15469
640	-15613
360	-15765
920	-15909
80	-16061
640	-16221
360	-16373
920	-16517
80	-16693
640	-16829
360	-16973
920	-17125
920	-17429
640	-17565
360	-17717
360	-18029
80	-18317
640	-18629
920	-18925
640	-19085
360	-19237
80	-19397
640	-19557
920	-19861
640	-20173
80	-20485
360	-20613
640	-20909
640	-21221
920	-21381
80	-21685
360	-21821
640	-21981
640	-22309
920	-22445
640	-22613
360	-22933
640	-23253
640	-23397
80	-23709
360	-24029
920	-24293
920	-24477
80	-24765
360	-24933
640	-25101
640	-25397
920	-25701
640	-25845
80	-26157
360	-26309
640	-26613
920	-26757
640	-26917
640	-27237
80	-27357
360	-27541
640	-27813
640	-28133
920	-28357
640	-28597
80	-28893
360	-29029
640	-29205
640	-29381
640	-29661
80	-29813
360	-29965
640	-30253
80	-30413
920	-30573
360	-30741
640	-31013
80	-31165
360	-31317
640	-31477
920	-31637
920	-31797
920	-32101
640	-32237
360	-32405
80	-32725
360	-33029
640	-33181
920	-33477
920	-33765
80	-33925
360	-34061
640	-34221
640	-34525
920	-34669
640	-34829
360	-35109
80	-35269
360	-35429
640	-35573
640	-35861
920	-36037
80	-36197
640	-36373
360	-36501
920	-36653
80	-36653
