640	-2421
920	-2557
920	-2765
640	-2885
80	-3101
360	-3437
640	-3549
640	-3749
80	-3885
360	-4021
640	-4141
920	-4261
640	-4453
80	-4629
640	-5293
360	-5477
640	-5653
920	-5853
920	-6109
360	-6269
640	-6557
80	-6797
360	-6997
640	-7117
920	-7245
920	-7493
640	-7653
360	-7869
80	-8013
360	-8133
640	-8389
640	-8661
360	-8741
920	-8845
920	-8949
640	-9109
80	-9253
640	-9493
360	-9789
640	-9989
80	-10133
360	-10261
640	-10485
80	-10589
360	-10645
640	-10917
920	-11149
640	-11781
80	-11997
360	-12237
640	-12469
920	-12653
640	-13069
360	-13189
920	-13341
80	-13461
360	-13589
640	-13901
80	-14013
360	-14133
640	-14261
920	-14389
640	-14685
80	-14749
360	-14813
640	-14893
920	-15029
920	-15157
640	-15453
80	-15509
360	-15557
640	-15613
920	-15709
920	-15789
920	-15893
640	-16029
80	-16341
360	-16469
640	-16677
80	-16797
640	-17125
80	-17269
360	-17381
640	-17509
920	-17629
640	-17757
80	-17885
360	-18013
640	-18157
640	-18477
80	-18485
